date,code,title,price,market_cap,number_of_investors,number_of_shares
2020-08-17,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),0.960693,4924354.56,228.0,5125834.0
2020-08-18,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.894823,134729856.65,2289.0,71104200.0
2020-08-18,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.894823,134729856.65,2289.0,71104200.0
2020-08-18,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),0.962733,5938682.51,236.0,6168565.0
2020-08-18,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),0.962733,5938682.51,236.0,6168565.0
2020-08-19,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.94266,144744403.56,2345.0,74508338.0
2020-08-19,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),0.956971,5965838.56,244.0,6234086.0
2020-08-20,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),0.974115,6106320.52,249.0,6268585.0
2020-08-20,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.927485,148155612.88,2319.0,76864712.0
2020-08-21,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.858208,136797798.75,2294.0,73618147.0
2020-08-21,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),0.976293,6256088.86,261.0,6408002.0
2020-08-24,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),0.976031,7048798.77,270.0,7221903.0
2020-08-24,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.834193,132246827.41,2274.0,72100828.0
